id,first_name,last_name,email,age,city,country
1,John,Doe,john.doe@email.com,32,New York,USA
2,Jane,Smith,jane.smith@email.com,28,London,UK
3,Michael,Johnson,michael.j@email.com,45,Toronto,Canada
4,Sarah,Williams,sarah.w@email.com,35,Sydney,Australia
5,Robert,Brown,robert.b@email.com,41,Paris,France
6,Lisa,Davis,lisa.davis@email.com,29,Berlin,Germany
7,James,Wilson,james.w@email.com,38,Tokyo,Japan
8,Emma,Taylor,emma.t@email.com,31,Madrid,Spain
9,David,Anderson,david.a@email.com,44,Rome,Italy
10,Maria,Garcia,maria.g@email.com,33,Mexico City,Mexico
